nct_id,title,status,phase,condition,gene_symbol
NCT05651620,The CALERIE™ Legacy Study,ACTIVE_NOT_RECRUITING,NA,The purpose of the CALERIE Legacy Study is to follow up on the health and wellness of participants from phase 2 of the C,GRPR
NCT02624518,68Ga-RM2 PET/MRI in Biochemically Recurrent Prostate Cancer,COMPLETED,PHASE2,"Prostate cancer (PC) remains the most-common non-cutaneous cancer diagnosed in American males, accounting for an estimat",GRPR
NCT04095962,Effects of a Multicomponent Exercise Intervention on Physical and Cognitive Function of Older Adults With Dementia,UNKNOWN,NA,Dementia is a leading cause of death and disability that was declared as one of the greatest health and social care chal,GRPR
NCT03453697,Effects of Acute Intermittent Hypoxia on Brain Function Imaging and Systemic Inflammation,UNKNOWN,NA,"Effects of acute intermittent hypoxia on brain function imaging and systemic inflammation

Patients with obstructive sle",GRPR
NCT03113617,68Ga-RM2 PET/CT in Detecting Regional Nodal and Distant Metastases in Patients With Intermediate or High-Risk Prostate Cancer,COMPLETED,PHASE2,This phase II trial studies how well gallium Ga 68-labeled gastrin-releasing peptide receptor (GRPR) antagonist BAY86-75,GRPR
NCT03565289,PRospective Prostate biOmarker Study,COMPLETED,NA,• Correlation of a glycoprotein panel with prostate biopsy outcome and PCa aggressiveness,GRPR
NCT01025206,"A Study of a Human Anti-Intercellular Adhesion Molecule-1 Monoclonal Antibody, in Patients With Multiple Myeloma",COMPLETED,PHASE1,This is a first in human study which will assess the safety and tolerability of a monoclonal antibody against ICAM-1 in ,GRPR
NCT05549024,68Ga-RM26-RGD PET/CT Imaging in the GRPR and αvβ3 Positive Tumor Patients,RECRUITING,EARLY_PHASE1,"Based on the high expression of specific receptors on the surface of diseased tissues and neovascularization, noninvasiv",GRPR
NCT02747290,68Ga-NOTA-BBN-RGD PET/CT in Prostate Cancer Patients,UNKNOWN,EARLY_PHASE1,This is an open-label positron emission tomography/computed tomography (PET/CT) study to investigate the diagnostic perf,GRPR
NCT05395052,FT536 Monotherapy and in Combination With Monoclonal Antibodies in Advanced Solid Tumors,TERMINATED,PHASE1,This is a Phase 1 dose-finding study of FT536 given in combination with a monoclonal antibody following lymphodepletion ,GRPR
NCT07275463,[99mTc]Tc-DB8 Accumulation in Primary Tumor in Breast Cancer With Positive and Negative Estrogen Receptor Expression,ENROLLING_BY_INVITATION,PHASE2,The study should evaluate the \[99mTc\]Tc-DB8 accumulation in primary tumour of breast cancer patients with positive and,GRPR
NCT04923555,"Analysis of the Postprandial Effects of a Vegetable Protein Mixture Rich in Arginine, Cysteine and Leucine on Endothelial Dysfunction and Inflammation at Low Noise in Elderly People With Cardiometabol",COMPLETED,NA,"By 2050, the expanding world population will consume two-thirds more animal protein than it consumes today. The increase",GRPR
NCT03604757,68Ga-RM2 Compared to 68Ga-PSMA-617 PET/CT for Prostate Cancer Imaging According to Various Metastatic Risks,COMPLETED,PHASE2,"Patients with primary prostate cancer (low, intermediate or high metastatic risk) for whom radical prostatectomy is indi",GRPR
NCT03203915,Metabolic Response to Chardonnay Grape Marc Powder,COMPLETED,NA,To determine if the addition of chardonnay grape marc (also called pomace) powder enriched with grape seed extract to th,GRPR
NCT05073653,A Study of 68Ga-GRP PET/CT for Imaging in Low and Intermediate Risk Prostate Cancer,UNKNOWN,NA,"Patients with primary low and intermediate risk prostate cancer (PCa) for whom radical prostatectomy are indicated, will",GRPR
NCT03831711,68-Ga-RM2 PET/MRI in Imaging Patients With Estrogen Receptor-Positive Breast Cancer,COMPLETED,PHASE1,This trial studies how well 68-Ga RM2 works with PET/MRI in imaging patients with estrogen receptor-positive breast canc,GRPR
NCT03131102,Perioperative Early Tiredness (Acute Fatigue) in Patients With Epithelial Ovarian Cancer,COMPLETED,NA,In surgical patients early risk prediction of postoperative complications and organ dysfunctions is still an important c,GRPR
NCT02483884,PET/CT Imaging Study of the Safety and Diagnostic Performance of [68Ga]RM2 in Patients With Primary Prostate Cancer,TERMINATED,PHASE1,The aim of this study is to investigate safety and diagnostic performance of the 68Ga labeled PET tracer \[68Ga\]RM2 for,GRPR
NCT01921374,Mother-caregivers of Children With Duchenne Muscular Dystrophy,COMPLETED,NA,The incidence of Duchenne Muscular Dystrophy (DMD) is approximately 1 in 3.500 male newborns. During its progression the,GRPR
NCT01541826,Study of Chokeberry to Reduce Cardiovascular Disease Risk in Former Smokers,COMPLETED,NA,The purpose of this project is to determine whether chokeberry polyphenols mitigate cardiovascular disease risk in forme,GRPR
NCT00976599,"A Study To Evaluate The Mechanism Of Action Of CP-690,550 In Patients With Rheumatoid Arthritis",COMPLETED,PHASE2,"To explore the effect of CP-690,550 on blood and synovial markers in subjects with rheumatoid arthritis. To evaluate the",GRPR
NCT06247995,"A Phase I/II, Dose Finding and Optimization Study of [177Lu]Lu-NeoB in Combination With Capecitabine in Patients With GRPR+, ER+, HER2- Metastatic Breast Cancer After Progression on Previous Endocrine",ACTIVE_NOT_RECRUITING,PHASE1,"In the phase I part, to determine the recommended doses (RD) and dosing regimens of \[177Lu\]Lu-NeoB in combination with",GRPR
NCT02559115,68Ga-RM2 for PET/CT of Gastrin Releasing Peptide Receptor (GRPr) Expression in Prostate Cancer,COMPLETED,PHASE2,The purpose of this study is to see if a new diagnostic research agent named 68Ga-RM2 can show prostate cancer on a PET/,GRPR
